Image,Original Power,Optimized Power,Power Saved (%)
4.1.01.tiff,0.885606308986581,0.8093931366191035,8.605762130882956
4.1.02.tiff,0.5563255685029074,0.503096583435899,9.567955902197612
4.1.03.tiff,1.8298231909002254,1.6813933152966476,8.111705892772852
4.1.04.tiff,1.5853308824426224,1.45587979572389,8.165556361286464
4.1.05.tiff,1.8194199267116073,1.6718544561884638,8.1105779021477
4.1.06.tiff,1.7291402637841502,1.5884718223228302,8.13516661473564
4.1.07.tiff,2.080625636068071,1.9125834675679354,8.0765210995717
4.1.08.tiff,1.9826469295054565,1.8222774065726717,8.088657670016254
4.2.01.tiff,5.8809689947281685,5.3992602864828125,8.190975138232668
4.2.03.tiff,6.640676209770246,6.099773886893996,8.145289813715575
4.2.05.tiff,8.932063468174599,8.213609503234368,8.043538511567002
4.2.06.tiff,6.440155265761345,5.91425719550177,8.165922226370483
4.2.07.tiff,5.85501105290811,5.375119329392324,8.19625649173506
house.tiff,7.8003355041802145,7.16953639858975,8.086820179111765
