Image,Original Power,Optimized Power,Power Saved (%)
4.1.01.tiff,0.885606308986581,0.788168594341055,11.002373589346504
4.1.02.tiff,0.5563255685029074,0.48793118528129703,12.293949279674877
4.1.03.tiff,1.8298231909002254,1.6319107763588685,10.815931043260477
4.1.04.tiff,1.5853308824426224,1.4116455338209875,10.955779045572282
4.1.05.tiff,1.8194199267116073,1.6239015779376171,10.746191459349749
4.1.06.tiff,1.7291402637841502,1.5400853001873949,10.93346604416096
4.1.07.tiff,2.080625636068071,1.8638629748709739,10.418148149262036
4.1.08.tiff,1.9826469295054565,1.777314530916956,10.356478278243811
4.2.01.tiff,5.8809689947281685,5.273096538282283,10.336263581576361
4.2.03.tiff,6.640676209770246,5.938083843660255,10.58013286472672
4.2.05.tiff,8.932063468174599,7.970849847093403,10.761383688170708
4.2.06.tiff,6.440155265761345,5.753488745825827,10.6622665386056
4.2.07.tiff,5.85501105290811,5.266759628107322,10.046973771443367
house.tiff,7.8003355041802145,6.977068969786553,10.554245185383001
